ID,H? Tên,Phòng ban,V? trí,Tên tài kho?n,Email,S? ?i?n tho?i,Ngày sinh
1,Phan Phúc Th?nh,,CEO,terus,phucthinhterus@gmail.com,84349004804,2/20/2024
2,Nguy?n D??ng Thanh Bình,Phòng marketing,Marketing Manager,manager1,manager1@example.com,84349004804,2/21/2024
3,Hu?nh V?nh Khang,Phòng bán hàng,Sale Manager,manager2,manager2@example.com,84349004804,2/22/2024
4,??ng Quang Anh,Phòng k? thu?t,Developer,dev1,dev1@example.com,84349004804,2/23/2024
5,Lê B?o Bình,Phòng marketing,Marketer,manager3,manager3@example.com,84349004804,2/24/2024
6,Lê Tr?n Minh Trí,Phòng bán hàng,Saler,manager4,manager4@example.com,84349004804,2/25/2024
7,Ph?m Quang Tu?n,Phòng k? thu?t,Developer,dev2,dev2@example.com,84349004804,2/26/2024
8,Bùi Tr?ng H?ng,Phòng marketing,Marketer,manager5,manager5@example.com,84349004804,2/27/2024
9,Hoàng Kim Ngân,Phòng bán hàng,Saler,manager6,manager6@example.com,84349004804,2/28/2024
10,Nguy?n Th? D??ng Ng?c,Phòng k? thu?t,Developer,dev3,dev3@example.com,84349004804,2/29/2024
11,Mai Th? Qu? Chi,Phòng marketing,Marketer,manager7,manager7@example.com,84349004804,3/1/2024
12,L?u Minh Tu?n,Phòng bán hàng,Saler,manager8,manager8@example.com,84349004804,3/2/2024
13,Võ Nguyên Quân,Phòng k? thu?t,Developer,dev4,dev4@example.com,84349004804,3/3/2024
14,Nguy?n V? Anh Th?,Phòng marketing,Marketer,manager9,manager9@example.com,84349004804,3/4/2024
15,Ph?m L?u,Phòng bán hàng,Saler,manager10,manager10@example.com,84349004804,3/5/2024
16,Nguy?n V?n Ki?t,Phòng k? thu?t,Developer,dev5,dev5@example.com,84349004804,3/6/2024
17,Nguy?n Chí Thanh,Phòng marketing,Marketer,manager11,manager11@example.com,84349004804,3/7/2024
18,Tr?n Th? Ph??ng Th?o,Phòng bán hàng,Saler,manager12,manager12@example.com,84349004804,3/8/2024
19,Nguy?n Quang H?o,Phòng k? thu?t,Developer,dev6,dev6@example.com,84349004804,3/9/2024
20,L?u Chí Tr??ng,Phòng marketing,Marketer,manager13,manager13@example.com,84349004804,3/10/2024
